Month,Sales
2015-01-01,27716
2015-02-01,25536
2015-03-01,28896
2015-04-01,33540
2015-05-01,40755
2015-06-01,26386
2015-07-01,25591
2015-08-01,28598
2015-09-01,33306
2015-10-01,35156
2015-11-01,43036
2015-12-01,35778
2016-01-01,28390
2016-02-01,26533
2016-03-01,29580
2016-04-01,34278
2016-05-01,41160
2016-06-01,26871
2016-07-01,26076
2016-08-01,28302
2016-09-01,33304
2016-10-01,35721
2016-11-01,43044
2016-12-01,36337
2017-01-01,28054
2017-02-01,26505
2017-03-01,29583
2017-04-01,34371
2017-05-01,41340
2017-06-01,27370
2017-07-01,26726
2017-08-01,28819
2017-09-01,33120
2017-10-01,36290
2017-11-01,43656
2017-12-01,36200
2018-01-01,29068
2018-02-01,27030
2018-03-01,29750
2018-04-01,34056
2018-05-01,41567
2018-06-01,26800
2018-07-01,26400
2018-08-01,29808
2018-09-01,33855
2018-10-01,36290
2018-11-01,43665
2018-12-01,36417
2019-01-01,29756
2019-02-01,27692
2019-03-01,30444
2019-04-01,35525
2019-05-01,42387
2019-06-01,27702
2019-07-01,27221
2019-08-01,30668
2019-09-01,34410
2019-10-01,36670
2019-11-01,44505
2019-12-01,37740